cell_id,p_hotspot_next
3569.0_182.0,0.19934158
3589.0_442.0,0.19889833
3559.0_362.0,0.1986249
3569.0_172.0,0.1984924
3559.0_432.0,0.19840881
3554.0_402.0,0.19840218
3589.0_332.0,0.19788584
3514.0_422.0,0.19777572
3559.0_412.0,0.19772105
3554.0_337.0,0.19766048
3579.0_327.0,0.19757101
3499.0_452.0,0.19738373
3599.0_322.0,0.1965727
3569.0_297.0,0.19646078
3439.0_392.0,0.19645447
3594.0_317.0,0.19614305
3494.0_247.0,0.19613601
3594.0_332.0,0.19521135
3544.0_417.0,0.19509526
3559.0_182.0,0.19473007
3549.0_362.0,0.1946071
3429.0_382.0,0.19405036
3599.0_137.0,0.19342966
3564.0_427.0,0.19312076
3634.0_232.0,0.19295967
3559.0_397.0,0.19215629
3559.0_242.0,0.19214608
3584.0_437.0,0.1917125
3579.0_437.0,0.19094802
3504.0_447.0,0.19081104
3499.0_312.0,0.1905919
3584.0_247.0,0.19037245
3454.0_427.0,0.19003153
3594.0_327.0,0.18957917
3544.0_422.0,0.18926914
3564.0_177.0,0.18904185
3584.0_347.0,0.18885145
3619.0_212.0,0.1885695
3534.0_447.0,0.1883744
3449.0_392.0,0.18835466
3539.0_432.0,0.18833953
3604.0_197.0,0.18815808
3539.0_222.0,0.18807535
3519.0_452.0,0.18764003
3474.0_367.0,0.18752968
3494.0_427.0,0.18697394
3619.0_152.0,0.18686308
3509.0_432.0,0.18677264
3559.0_307.0,0.1866804
3634.0_182.0,0.18620971
3619.0_272.0,0.18585673
3554.0_362.0,0.1856469
3569.0_302.0,0.18562248
3529.0_437.0,0.18531866
3454.0_432.0,0.18502729
3619.0_167.0,0.18491913
3559.0_457.0,0.18456334
3444.0_377.0,0.1842668
3539.0_292.0,0.18424682
3514.0_427.0,0.18416685
3634.0_127.0,0.18377636
3529.0_457.0,0.18367405
3424.0_387.0,0.18310277
3594.0_312.0,0.183092
3424.0_407.0,0.18265563
3549.0_407.0,0.18264611
3624.0_112.0,0.18219315
3569.0_307.0,0.1817406
3534.0_247.0,0.18125579
3459.0_297.0,0.18123811
3494.0_312.0,0.18113604
3634.0_242.0,0.18096623
3589.0_242.0,0.18081594
3439.0_372.0,0.18076648
3629.0_232.0,0.18075098
3629.0_207.0,0.18034153
3579.0_367.0,0.1802726
3504.0_427.0,0.17995629
3489.0_397.0,0.17978182
3624.0_292.0,0.17957528
3534.0_452.0,0.17927577
3599.0_267.0,0.17912416
3579.0_397.0,0.17903781
3634.0_237.0,0.17867339
3564.0_287.0,0.1785007
3649.0_182.0,0.17816576
3449.0_402.0,0.17787743
3609.0_222.0,0.17779087
3584.0_162.0,0.17765445
3549.0_377.0,0.17751849
3569.0_227.0,0.17750965
3539.0_437.0,0.17741463
3549.0_272.0,0.17738484
3599.0_282.0,0.17702752
3509.0_437.0,0.17687038
3639.0_112.0,0.17641142
3544.0_287.0,0.17634048
3609.0_172.0,0.17626283
3574.0_252.0,0.17570782
3444.0_417.0,0.17545196
3464.0_292.0,0.17540662
3574.0_367.0,0.1752244
3489.0_447.0,0.17506999
3574.0_297.0,0.17504148
3629.0_157.0,0.17466994
3524.0_417.0,0.17421365
3539.0_397.0,0.17387474
3494.0_432.0,0.17330612
3574.0_232.0,0.17320779
3589.0_292.0,0.17306127
3529.0_432.0,0.17275245
3504.0_312.0,0.17245466
3519.0_432.0,0.1723369
3464.0_352.0,0.1722409
3619.0_232.0,0.17215163
3589.0_172.0,0.17187367
3609.0_162.0,0.17174774
3579.0_357.0,0.1715946
3544.0_342.0,0.17152831
3459.0_357.0,0.17148843
3554.0_452.0,0.17099307
3579.0_402.0,0.17078535
3544.0_237.0,0.17064096
3584.0_227.0,0.1703788
3574.0_337.0,0.17036977
3554.0_307.0,0.17032184
3639.0_252.0,0.17021047
3629.0_282.0,0.17003356
3574.0_417.0,0.1698563
3614.0_237.0,0.16956967
3584.0_422.0,0.16935408
3534.0_402.0,0.16892081
3504.0_407.0,0.16861726
3584.0_357.0,0.16851613
3524.0_447.0,0.16839796
3604.0_262.0,0.1683599
3444.0_327.0,0.16835386
3514.0_437.0,0.16830909
3469.0_442.0,0.16806856
3499.0_427.0,0.16770746
3554.0_332.0,0.16748822
3649.0_192.0,0.16723071
3624.0_227.0,0.16709015
3514.0_287.0,0.16701712
3514.0_397.0,0.16693303
3534.0_422.0,0.16686657
3574.0_322.0,0.16668965
3644.0_112.0,0.1666244
3554.0_412.0,0.1663108
3604.0_297.0,0.1658625
3444.0_432.0,0.16533971
3574.0_172.0,0.1652926
3614.0_287.0,0.16522051
3609.0_277.0,0.16520429
3609.0_287.0,0.16496797
3574.0_187.0,0.16478114
3574.0_227.0,0.16469237
3619.0_122.0,0.16457562
3464.0_427.0,0.16449557
3574.0_192.0,0.16420053
