cell_id,p_hotspot_next
3507.0_197.0,0.5951281871140962
3532.0_182.0,0.58979758539673
3537.0_182.0,0.5842522340520042
3527.0_187.0,0.5818024366339732
3507.0_162.0,0.5804875119485052
3527.0_232.0,0.574812955102421
3502.0_152.0,0.5726872898346237
3522.0_187.0,0.5724940749770733
3532.0_187.0,0.5663805407462211
3512.0_132.0,0.5646259339750038
3502.0_147.0,0.5635490057674356
3512.0_147.0,0.5635442818742677
3507.0_182.0,0.5618968713286657
3502.0_137.0,0.5618381270362645
3542.0_187.0,0.5615089752939222
3547.0_152.0,0.5591060194431531
3512.0_157.0,0.5579994256705219
3527.0_147.0,0.5563096209603029
3507.0_127.0,0.5521583490908964
3487.0_132.0,0.5517648481802574
3522.0_147.0,0.5506640064566328
3522.0_137.0,0.5500818348967231
3532.0_132.0,0.546283332585831
3507.0_132.0,0.5455751078485988
3532.0_162.0,0.5421969134441931
3512.0_167.0,0.5411082887343226
3557.0_152.0,0.5405754955668117
3517.0_187.0,0.5403727037388086
3517.0_262.0,0.5398974704384214
3527.0_157.0,0.5397380269124619
3567.0_162.0,0.53554152274579
3507.0_202.0,0.5346023867103159
3567.0_147.0,0.5303951386375516
3527.0_227.0,0.5302580094811177
3527.0_212.0,0.5294886922141856
3492.0_132.0,0.5264012312012497
3527.0_162.0,0.524832440285719
3517.0_122.0,0.5245128977405425
3507.0_157.0,0.519695792466303
3522.0_232.0,0.5163712363058518
3502.0_207.0,0.5153829719048686
3512.0_122.0,0.51530633539826
3507.0_122.0,0.5148353022914324
3497.0_147.0,0.5102664521835507
3497.0_137.0,0.5082299122069472
3507.0_247.0,0.5031818131678623
3507.0_172.0,0.5024973455139532
3507.0_212.0,0.500426263891221
3532.0_127.0,0.4990398957506173
3487.0_142.0,0.49575272450721597
3577.0_167.0,0.49463354736054227
3502.0_177.0,0.4900978694623355
3507.0_167.0,0.4883299636220952
3527.0_197.0,0.4847928710004963
3542.0_137.0,0.48408333185464225
3547.0_167.0,0.4801636754235634
3557.0_132.0,0.47846940444139696
3542.0_132.0,0.47834990379594833
3502.0_127.0,0.47828761831732447
3527.0_152.0,0.47274252497815056
3497.0_152.0,0.47109561576252074
3507.0_152.0,0.4667266814841164
3527.0_217.0,0.46161584690855806
3577.0_157.0,0.46160286192572186
3532.0_197.0,0.4609611795169807
3562.0_142.0,0.45946286256791674
3552.0_172.0,0.4580104982426194
3537.0_162.0,0.45748140330138687
3512.0_257.0,0.4569937581598813
3522.0_192.0,0.45617936871907416
3527.0_137.0,0.4554611710553693
3537.0_187.0,0.45532408430202886
3567.0_152.0,0.45289681405379717
3532.0_157.0,0.4492659893947197
3517.0_247.0,0.4464950326139823
3522.0_132.0,0.4428804667275356
3537.0_127.0,0.4393283186500945
3522.0_127.0,0.43857774288422413
3512.0_252.0,0.4352413341768333
3522.0_117.0,0.43360619553220675
3502.0_232.0,0.43312735737102503
3562.0_162.0,0.42555185921155747
3502.0_157.0,0.4192837053010678
3547.0_172.0,0.41557239224541165
3517.0_257.0,0.4135389471384309
3522.0_237.0,0.4132969446743132
3562.0_137.0,0.41057360656560415
3527.0_222.0,0.4076179536361445
3497.0_232.0,0.4060200884658734
3532.0_207.0,0.40571437138390387
3487.0_152.0,0.4008900305414561
3497.0_212.0,0.40075499384824603
3512.0_127.0,0.39937056113277125
3527.0_167.0,0.397511511064925
3517.0_232.0,0.3971939672757868
3512.0_207.0,0.3947993505926294
3527.0_132.0,0.3943745812459129
3552.0_137.0,0.39365763132546544
3537.0_192.0,0.38985080011095197
3537.0_142.0,0.3894179726086742
3522.0_142.0,0.3867252952709406
3522.0_122.0,0.38290707511787714
3497.0_132.0,0.38257196339955607
3507.0_147.0,0.38256643655537736
3527.0_207.0,0.3824841073473491
3532.0_192.0,0.38013177952199917
3532.0_147.0,0.3732423623774068
3502.0_247.0,0.3713871374427838
3512.0_202.0,0.37097772577754096
3552.0_167.0,0.3673612215232379
3572.0_157.0,0.366133757949631
3502.0_252.0,0.36097564174934094
3492.0_157.0,0.36056245017785116
3527.0_192.0,0.3565847749003892
3517.0_252.0,0.35274689374165835
3567.0_142.0,0.3469216633470292
3522.0_212.0,0.34402238499521626
3522.0_167.0,0.3434578424190594
3567.0_137.0,0.3394384688956407
3507.0_222.0,0.33320498568019397
3552.0_147.0,0.33181932577934103
3552.0_132.0,0.33000825377592125
3482.0_137.0,0.32762066406549795
3502.0_227.0,0.3263828286896966
3557.0_137.0,0.325959731351317
3522.0_227.0,0.3254654082750901
3532.0_212.0,0.32251196673039956
3517.0_142.0,0.32047460743105544
3527.0_127.0,0.31531220140103583
3502.0_142.0,0.3143091946234718
3512.0_237.0,0.3109380723688329
3532.0_152.0,0.3103157880215299
3497.0_242.0,0.30909189855368263
3517.0_207.0,0.3058006765432069
3522.0_162.0,0.3046314153201533
3537.0_197.0,0.3023467799955989
3542.0_127.0,0.2996894111784554
3502.0_212.0,0.29729044154843687
3522.0_222.0,0.29728435404609505
3497.0_217.0,0.29439475986589725
3527.0_122.0,0.293222886284291
3512.0_247.0,0.29138499385747874
3507.0_142.0,0.2895875628222841
3577.0_162.0,0.288548079172315
3527.0_117.0,0.2868020058240107
3542.0_122.0,0.28353190991379035
3502.0_222.0,0.28131339745956035
3532.0_217.0,0.28088446243340637
3497.0_222.0,0.2747314054856638
3517.0_162.0,0.2715863235460056
3507.0_217.0,0.2689157959515543
3542.0_172.0,0.2684498547306937
3567.0_157.0,0.26631585332464724
3547.0_127.0,0.2628305279125365
3532.0_122.0,0.2620595428107034
3557.0_172.0,0.26045483898778155
3497.0_237.0,0.25701881579376384
3542.0_182.0,0.2554054937900167
3557.0_147.0,0.2533611706989725
3532.0_137.0,0.2511080152934914
3537.0_147.0,0.2425403240381617
3567.0_167.0,0.2373607467502781
3557.0_167.0,0.23702119269042865
3522.0_157.0,0.23627687394689775
3537.0_157.0,0.23408018080526433
3502.0_242.0,0.23387252235030456
3572.0_162.0,0.23382452593844222
3537.0_117.0,0.2337299600550724
3542.0_167.0,0.22978771785269161
3517.0_222.0,0.22877097709382543
3562.0_172.0,0.2269993938979944
3517.0_137.0,0.22611036065932394
3497.0_127.0,0.2253364860990428
3532.0_142.0,0.22299415764526284
3502.0_217.0,0.22254071282278823
3512.0_227.0,0.21747150242527025
3517.0_202.0,0.21368964552951522
3502.0_237.0,0.20896685779782428
3522.0_247.0,0.2068938378010885
3572.0_147.0,0.20085566525935247
3537.0_152.0,0.20062643547257666
3547.0_157.0,0.19847514338700084
3557.0_157.0,0.19730794843196334
3522.0_242.0,0.19629888354800712
3517.0_227.0,0.19558174481253887
3537.0_122.0,0.19463904878647573
3497.0_227.0,0.19402631639601525
3562.0_167.0,0.19380654371904218
3562.0_152.0,0.19291871406641337
3567.0_172.0,0.19070255608767928
3527.0_172.0,0.18809951361411867
3522.0_202.0,0.18348207990200052
3552.0_127.0,0.18170631133839402
3532.0_167.0,0.1808724961209456
3512.0_212.0,0.18083510110703868
3552.0_152.0,0.1781406222314292
3517.0_212.0,0.17438741818875148
3517.0_217.0,0.16581142180781036
3512.0_197.0,0.15968178641744177
3512.0_232.0,0.1592643383026835
3562.0_157.0,0.15010098075783973
3542.0_142.0,0.149587544108111
3567.0_132.0,0.14557350652578901
3542.0_157.0,0.14005576776173945
3542.0_152.0,0.1387782184954175
3532.0_202.0,0.13728050078009227
3507.0_237.0,0.13573252545674508
3552.0_157.0,0.13319288378763294
3547.0_142.0,0.13077892990322287
3542.0_147.0,0.1289914176087514
3537.0_167.0,0.12813898792859016
3562.0_147.0,0.12668422464223136
3507.0_227.0,0.12196434144291647
3537.0_177.0,0.11911321738617522
3512.0_217.0,0.1182392370172002
3547.0_162.0,0.11596697175505379
3522.0_207.0,0.11039265094042473
3537.0_172.0,0.11010924138132323
3532.0_172.0,0.10861469396339035
3507.0_232.0,0.10820953989296848
3552.0_142.0,0.10531081548229508
3572.0_152.0,0.10469076927509328
3552.0_162.0,0.102666844600677
3522.0_252.0,0.1004833346241019
3517.0_242.0,0.09962948569358344
3522.0_172.0,0.09511926021748428
3522.0_217.0,0.09367376697852332
3517.0_237.0,0.09037427011338038
3512.0_242.0,0.08566255800336893
3557.0_162.0,0.08290298642267555
3542.0_177.0,0.08233705083386986
3512.0_222.0,0.07880446193538419
3532.0_117.0,0.07595217598005878
3562.0_132.0,0.06217001695648851
3547.0_147.0,0.05779952732884256
3517.0_167.0,0.03450496916045694
